num_units1,num_units2,num_units3,batch_size,Loss
100.0,50.0,200.0,4.0,0.5347534418106079
150.0,150.0,200.0,4.0,0.5634876489639282
150.0,100.0,200.0,4.0,0.5703124403953552
100.0,150.0,200.0,4.0,0.5727864503860474
150.0,50.0,200.0,4.0,0.5981170535087585
200.0,100.0,200.0,4.0,0.6019242405891418
200.0,50.0,200.0,4.0,0.6026858687400818
100.0,200.0,200.0,4.0,0.6165739297866821
200.0,200.0,200.0,4.0,0.6230594515800476
200.0,50.0,150.0,4.0,0.6238929629325867
150.0,50.0,200.0,8.0,0.6246898174285889
50.0,50.0,200.0,4.0,0.6296836137771606
200.0,150.0,200.0,4.0,0.6406998038291931
200.0,100.0,150.0,4.0,0.6530188322067261
150.0,100.0,150.0,4.0,0.6561101078987122
150.0,100.0,200.0,8.0,0.6607092618942261
100.0,150.0,150.0,4.0,0.6618047952651978
50.0,100.0,200.0,4.0,0.6634908318519592
200.0,50.0,200.0,8.0,0.6653144359588623
200.0,200.0,150.0,4.0,0.6680095195770264
100.0,100.0,200.0,4.0,0.6755040287971497
50.0,150.0,200.0,4.0,0.6802440285682678
50.0,100.0,200.0,8.0,0.6820544600486755
50.0,150.0,200.0,8.0,0.6856849789619446
100.0,50.0,200.0,8.0,0.6867451667785645
150.0,200.0,150.0,4.0,0.6873904466629028
100.0,200.0,150.0,4.0,0.6893225908279419
100.0,100.0,200.0,8.0,0.6930047273635864
50.0,200.0,200.0,4.0,0.6944618821144104
150.0,200.0,200.0,4.0,0.6962553262710571
100.0,100.0,150.0,4.0,0.7011170983314514
150.0,150.0,200.0,8.0,0.7043708562850952
50.0,100.0,150.0,4.0,0.7065881490707397
50.0,50.0,200.0,8.0,0.7188436388969421
150.0,150.0,150.0,4.0,0.7400211691856384
100.0,200.0,200.0,8.0,0.7480530738830566
200.0,100.0,200.0,8.0,0.7514317631721497
50.0,200.0,200.0,8.0,0.7558915019035339
200.0,200.0,200.0,8.0,0.7583887577056885
150.0,200.0,200.0,8.0,0.7628908157348633
200.0,150.0,150.0,4.0,0.7689316272735596
100.0,50.0,150.0,4.0,0.7691377401351929
150.0,150.0,150.0,8.0,0.7761368155479431
50.0,150.0,150.0,4.0,0.7793208956718445
200.0,150.0,200.0,8.0,0.78007972240448
150.0,50.0,150.0,4.0,0.7826553583145142
100.0,150.0,200.0,8.0,0.7872557640075684
50.0,100.0,150.0,8.0,0.8003281354904175
50.0,50.0,150.0,8.0,0.8051354289054871
50.0,100.0,100.0,4.0,0.8061931133270264
50.0,150.0,150.0,8.0,0.8184305429458618
100.0,50.0,150.0,8.0,0.8210415840148926
200.0,50.0,100.0,4.0,0.8414345383644104
200.0,200.0,100.0,4.0,0.8449441194534302
50.0,50.0,150.0,4.0,0.8487240672111511
50.0,200.0,150.0,4.0,0.8495383858680725
150.0,200.0,100.0,4.0,0.8598278760910034
200.0,100.0,100.0,4.0,0.8614082336425781
150.0,50.0,150.0,8.0,0.8700218200683594
150.0,50.0,100.0,4.0,0.8771260380744934
200.0,100.0,150.0,8.0,0.8795666098594666
100.0,100.0,100.0,4.0,0.8864191174507141
100.0,100.0,150.0,8.0,0.891069769859314
50.0,200.0,100.0,4.0,0.8918628096580505
150.0,100.0,150.0,8.0,0.892959713935852
50.0,50.0,100.0,4.0,0.8957746028900146
150.0,150.0,100.0,4.0,0.895889401435852
100.0,150.0,100.0,4.0,0.9137149453163147
100.0,200.0,150.0,8.0,0.9298816919326782
200.0,150.0,150.0,8.0,0.9302052855491638
100.0,50.0,100.0,4.0,0.9434404969215393
200.0,200.0,150.0,8.0,0.948855459690094
100.0,150.0,150.0,8.0,0.9493831396102905
100.0,200.0,100.0,4.0,0.9525991082191467
150.0,100.0,100.0,4.0,0.9530175924301147
200.0,150.0,100.0,4.0,0.9583821892738342
150.0,200.0,150.0,8.0,0.9606885313987732
200.0,50.0,150.0,8.0,0.9620935916900635
50.0,150.0,100.0,4.0,0.9894008040428162
50.0,200.0,150.0,8.0,1.0091928243637085
150.0,200.0,50.0,4.0,1.0232185125350952
100.0,100.0,100.0,8.0,1.044561743736267
200.0,100.0,100.0,8.0,1.0733917951583862
150.0,50.0,100.0,8.0,1.0822932720184326
100.0,100.0,50.0,4.0,1.0893528461456299
100.0,50.0,100.0,8.0,1.0956064462661743
100.0,150.0,50.0,4.0,1.1071027517318726
50.0,100.0,100.0,8.0,1.1088091135025024
100.0,50.0,50.0,4.0,1.109098196029663
200.0,100.0,50.0,4.0,1.1115236282348633
50.0,150.0,50.0,4.0,1.1175528764724731
150.0,150.0,50.0,4.0,1.1193748712539673
50.0,50.0,50.0,4.0,1.121743083000183
200.0,200.0,50.0,4.0,1.1269110441207886
200.0,200.0,100.0,8.0,1.140026569366455
150.0,100.0,50.0,4.0,1.1407064199447632
100.0,200.0,100.0,8.0,1.1480337381362915
150.0,50.0,50.0,4.0,1.1503759622573853
100.0,200.0,50.0,4.0,1.153676152229309
150.0,150.0,100.0,8.0,1.185503363609314
