num_units1,num_units2,num_units3,batch_size,Loss
50.0,200.0,50.0,4.0,0.36387762427330017
100.0,150.0,50.0,4.0,0.3954106569290161
150.0,100.0,200.0,4.0,0.40260910987854004
50.0,100.0,200.0,4.0,0.4067646265029907
150.0,200.0,150.0,4.0,0.41022375226020813
150.0,150.0,50.0,4.0,0.4165714383125305
200.0,100.0,50.0,4.0,0.4197343587875366
100.0,100.0,200.0,4.0,0.42337992787361145
100.0,200.0,50.0,4.0,0.4267808496952057
200.0,50.0,200.0,4.0,0.42738136649131775
200.0,200.0,200.0,4.0,0.4313557744026184
200.0,100.0,150.0,4.0,0.4364924728870392
50.0,150.0,50.0,4.0,0.43860775232315063
200.0,100.0,200.0,4.0,0.4388481676578522
200.0,200.0,50.0,4.0,0.4424128234386444
50.0,50.0,50.0,4.0,0.44687357544898987
100.0,200.0,200.0,4.0,0.4491174519062042
150.0,150.0,150.0,4.0,0.451943963766098
100.0,100.0,50.0,4.0,0.4535737931728363
50.0,100.0,100.0,4.0,0.453686386346817
100.0,150.0,150.0,4.0,0.4590321183204651
200.0,200.0,100.0,4.0,0.4597955644130707
150.0,50.0,50.0,4.0,0.4653351306915283
50.0,50.0,200.0,4.0,0.46561571955680847
200.0,200.0,150.0,4.0,0.46665388345718384
150.0,150.0,100.0,4.0,0.46768882870674133
50.0,150.0,200.0,4.0,0.46786072850227356
200.0,150.0,150.0,4.0,0.4681382179260254
150.0,50.0,150.0,4.0,0.47143033146858215
50.0,200.0,150.0,4.0,0.47198495268821716
100.0,150.0,200.0,4.0,0.4731886386871338
200.0,150.0,50.0,4.0,0.4741712212562561
150.0,150.0,200.0,4.0,0.474228173494339
50.0,150.0,150.0,4.0,0.4815616011619568
100.0,200.0,150.0,4.0,0.48334839940071106
200.0,100.0,100.0,4.0,0.48714199662208557
100.0,100.0,100.0,4.0,0.4874183237552643
50.0,200.0,200.0,4.0,0.48958417773246765
150.0,200.0,100.0,4.0,0.491280198097229
100.0,100.0,150.0,4.0,0.4916050136089325
200.0,150.0,200.0,4.0,0.49232590198516846
150.0,100.0,50.0,4.0,0.4969711899757385
100.0,150.0,100.0,4.0,0.49878212809562683
50.0,200.0,100.0,4.0,0.5003488063812256
150.0,200.0,50.0,4.0,0.5057055950164795
100.0,200.0,100.0,4.0,0.5068525671958923
200.0,50.0,150.0,4.0,0.5097859501838684
150.0,200.0,200.0,4.0,0.5110147595405579
200.0,150.0,100.0,4.0,0.5113666653633118
50.0,100.0,50.0,4.0,0.5136879682540894
100.0,50.0,200.0,4.0,0.5180932879447937
100.0,50.0,200.0,8.0,0.5259719491004944
100.0,50.0,50.0,4.0,0.527103066444397
50.0,150.0,100.0,4.0,0.5362634062767029
200.0,150.0,200.0,8.0,0.5391196608543396
50.0,100.0,150.0,4.0,0.5393649935722351
200.0,50.0,100.0,4.0,0.5421739220619202
150.0,100.0,150.0,4.0,0.5550115704536438
150.0,200.0,200.0,8.0,0.5617058277130127
200.0,200.0,200.0,8.0,0.5642387866973877
200.0,50.0,50.0,4.0,0.565427839756012
200.0,50.0,200.0,8.0,0.5655699968338013
150.0,100.0,100.0,4.0,0.5664884448051453
150.0,50.0,100.0,4.0,0.5675614476203918
150.0,100.0,200.0,8.0,0.5676185488700867
150.0,150.0,200.0,8.0,0.5703527331352234
50.0,50.0,100.0,4.0,0.574761688709259
100.0,100.0,200.0,8.0,0.593191921710968
100.0,200.0,200.0,8.0,0.5942810773849487
200.0,100.0,150.0,8.0,0.5954209566116333
50.0,150.0,200.0,8.0,0.6052206158638
100.0,150.0,200.0,8.0,0.6068712472915649
200.0,100.0,200.0,8.0,0.6134957075119019
100.0,100.0,150.0,8.0,0.6172856688499451
50.0,50.0,200.0,8.0,0.6200849413871765
150.0,50.0,200.0,4.0,0.6298559904098511
150.0,200.0,150.0,8.0,0.6300799250602722
50.0,100.0,200.0,8.0,0.635073184967041
50.0,50.0,150.0,4.0,0.6368811130523682
50.0,150.0,150.0,8.0,0.6465811133384705
200.0,150.0,150.0,8.0,0.6559345722198486
150.0,50.0,200.0,8.0,0.6631435751914978
50.0,200.0,150.0,8.0,0.6669089198112488
100.0,50.0,150.0,8.0,0.6683070063591003
200.0,50.0,150.0,8.0,0.6686736345291138
50.0,50.0,150.0,8.0,0.6705485582351685
50.0,200.0,200.0,8.0,0.6746476292610168
100.0,150.0,150.0,8.0,0.6782114505767822
200.0,200.0,150.0,8.0,0.6813368201255798
100.0,200.0,150.0,8.0,0.7044634819030762
100.0,50.0,100.0,4.0,0.7045695781707764
150.0,100.0,150.0,8.0,0.7051078081130981
100.0,50.0,150.0,4.0,0.7122851014137268
200.0,200.0,100.0,8.0,0.7149284482002258
150.0,50.0,150.0,8.0,0.7159326672554016
50.0,100.0,150.0,8.0,0.7233222126960754
150.0,150.0,150.0,8.0,0.7354159951210022
200.0,50.0,100.0,8.0,0.7466477751731873
100.0,100.0,100.0,8.0,0.7591359615325928
150.0,150.0,100.0,8.0,0.7626954913139343
