zcmb,mb,dmb,errors
0.50349,22.93445,0.12605,0.12675822458523153
0.4952,22.8802,0.11765,0.11817196156449296
0.6782,24.0377,0.2056,0.20601973206467386
0.8672,24.34685,0.17385,0.17490250855833944
0.7992,24.3605,0.17435,0.17534719130912818
0.37129,22.28785,0.1245,0.12520147762706318
0.35568,22.05915,0.12645,0.1266692444913129
0.28391,21.40915,0.1028,0.10301249924159689
0.46691,23.21635,0.1587,0.1588744315489437
0.94791,24.41155,0.1642,0.16594613583931386
0.69391,23.79645,0.24445,0.2447981668640515
0.89791,24.40275,0.16645,0.16760688380851185
0.78991,24.2188,0.11585,0.11718416061908707
0.59091,23.3354,0.1666,0.16710371031188984
0.2102,20.64495,0.10525,0.1057169215404989
0.8592,24.1237,0.1478,0.14906002146786373
0.5592,23.1648,0.1335,0.1340948172003676
0.9972,24.69965,0.1408,0.14321913280005574
0.5834,23.34385,0.1258,0.12649043442094743
0.7972,23.85445,0.1588,0.159867585832776
0.9142,24.37895,0.13735,0.13889806514131145
0.94921,24.66675,0.15105,0.15297646060750653
0.7342,23.8481,0.15575,0.15644774686776414
0.7662,24.10805,0.1549,0.15568924176063034
0.9842,24.828,0.153,0.15512208095561378
0.7012,23.7492,0.1738,0.17430545028770617
0.83716,24.1545,0.1807,0.1818437791072326
0.37016,22.1401,0.1211,0.12180133414704455
0.35816,21.95965,0.1186,0.11887255780877266
0.52216,23.15915,0.14165,0.14262514680097615
0.70116,23.7115,0.26255,0.26288765185911644
0.74526,23.8056,0.16465,0.16531652216278928
0.59116,23.2429,0.12625,0.12691383888292088
0.62039,23.5114,0.1131,0.11418885672428813
1.0024,25.0798,0.19135,0.1931861084550336
0.6104,23.47615,0.1329,0.13366059628776164
0.35819,21.9694,0.11425,0.11452826070450908
0.45138,22.4159,0.12515,0.12550907337718656
0.55239,22.98515,0.13425,0.13484380779257163
0.75039,23.763,0.19155,0.19213233069944266
0.82238,24.3356,0.14625,0.1478388565296688
0.95039,24.68515,0.14485,0.14690470550666512
0.34039,21.9463,0.10555,0.10582219757687893
0.8104,24.0795,0.17055,0.17173672437775211
0.61191,23.7392,0.1593,0.15994189569965714
0.54891,22.8926,0.1438,0.14437255625637443
1.02991,24.7289,0.16015,0.16263201560578408
0.42291,22.35675,0.1192,0.11961527912436605
0.70191,23.90875,0.1805,0.18098823166161937
0.68591,23.844,0.2326,0.23296350572568228
0.93291,24.54795,0.15235,0.1539783669870544
0.74991,23.81055,0.18275,0.18335649020419212
0.46891,22.73255,0.11785,0.11808277816853735
0.95991,24.80665,0.17245,0.17421160265608027
0.8412,24.22255,0.1456,0.14699513597394984
0.5632,23.2428,0.11755,0.11824177561251353
0.8292,24.39785,0.1526,0.15405159849868486
0.57921,23.22495,0.12065,0.12140229610678704
0.8652,24.3693,0.14625,0.1475039236766263
0.8592,24.4442,0.16535,0.16647727322370462
0.58621,23.5694,0.1417,0.1423010189703503
0.4892,22.8653,0.1136,0.11401043811862141
0.68921,23.6132,0.1518,0.15235596476672647
0.32416,21.79365,0.10225,0.10243389331661665
0.18516,20.4558,0.10405,0.10430808933155665
0.68116,23.59755,0.1484,0.14897237999038615
0.92116,24.355,0.1708,0.17213593465630586
0.42816,22.751,0.1294,0.12991843595117666
0.69916,23.95255,0.2153,0.2157066642456834
0.57516,23.38495,0.13845,0.1391325716717692
0.51116,23.11305,0.1165,0.11759383487241158
0.64116,23.62155,0.1659,0.16665348781228673
0.35116,22.2272,0.1136,0.1138298071684214
0.34916,22.14445,0.11065,0.11089983092863577
0.35486,22.23665,0.113,0.1132401430588994
0.87116,24.3402,0.1332,0.13456370238663917
0.92516,24.7687,0.10935,0.11149687215343757
0.4194,22.59095,0.12095,0.12131237570833407
0.89038,24.1804,0.14085,0.14218056301759394
0.48038,22.7752,0.1151,0.11539222244154933
0.58038,23.36785,0.1608,0.16135318404047688
0.80538,24.09575,0.1555,0.15672073889565477
0.66438,23.6337,0.1611,0.1616869196935856
0.74538,24.00735,0.1527,0.15341753485178936
0.7364,23.77845,0.1399,0.1406745712628974
0.37039,22.04575,0.11295,0.11369757033463819
0.85039,24.31865,0.1304,0.13187065632656872
0.21938,20.8469,0.1023,0.10264229147870774
0.64739,23.6259,0.1613,0.1620154930863095
0.60038,23.4022,0.15455,0.155118914062728
0.76039,23.92525,0.14995,0.15073577047270498
0.47039,22.804,0.1221,0.1223271842232952
0.49791,22.9275,0.13225,0.1327729170425957
0.50791,22.9705,0.1253,0.12615347795443455
0.58791,23.44375,0.14055,0.14115131065633077
0.69992,23.77905,0.15635,0.15690698677879197
0.76191,24.05415,0.16035,0.1610870028897428
0.78891,24.1069,0.13815,0.13925789923735027
0.40591,22.564,0.11045,0.11079597239972219
0.80892,24.55735,0.16345,0.16464667473107375
0.58392,23.6081,0.12955,0.13021863345927112
0.72091,24.0226,0.19335,0.19389549375888032
0.83791,24.3054,0.1427,0.14415694572236193
